Season,Date,Home Team,Away Team,Score
2002-2003,18:30,Real Betis,Real Valladolid,"2            

                2"
2002-2003,20:00,Malaga,Real Sociedad,"0            

                2"
2002-2003,17:00,Rayo Vallecano,Osasuna,"0            

                0"
2002-2003,19:00,Athletic Bilbao,Racing Santander,"2            

                1"
2002-2003,20:00,Celta Vigo,Deportivo La Coruna,"3            

                0"
2002-2003,20:30,Valencia,Real Madrid,"1            

                2"
2002-2003,17:00,Alaves,Athletic Bilbao,"2            

                4"
2002-2003,17:00,Osasuna,Real Betis,"2            

                1"
2002-2003,17:00,Real Valladolid,Espanyol,"1            

                1"
2002-2003,17:00,Sevilla,Rayo Vallecano,"3            

                3"
2002-2003,17:00,Villarreal,Celta Vigo,"5            

                0"
2002-2003,18:30,Real Sociedad,Recreativo Huelva,"1            

                0"
2002-2003,19:00,Real Madrid,Malaga,"5            

                1"
2002-2003,20:00,Barcelona,Real Mallorca,"1            

                2"
2002-2003,20:30,Deportivo La Coruna,Valencia,"1            

                2"
2002-2003,17:00,Celta Vigo,Racing Santander,"2            

                2"
2002-2003,18:00,Rayo Vallecano,Real Betis,"1            

                1"
2002-2003,18:00,Real Mallorca,Real Sociedad,"1            

                3"
2002-2003,19:00,Valencia,Villarreal,"1            

                2"
2002-2003,20:00,Sevilla,Barcelona,"0            

                0"
2002-2003,18:00,Athletic Bilbao,Real Valladolid,"0            

                0"
2002-2003,18:00,Recreativo Huelva,Real Madrid,"0            

                0"
2002-2003,19:30,Espanyol,Osasuna,"0            

                0"
2002-2003,20:30,Malaga,Deportivo La Coruna,"0            

                2"
2002-2003,16:00,Barcelona,Rayo Vallecano,"3            

                0"
2002-2003,16:00,Deportivo La Coruna,Recreativo Huelva,"0            

                0"
2002-2003,16:00,Osasuna,Athletic Bilbao,"1            

                5"
2002-2003,16:00,Real Madrid,Real Mallorca,"0            

                0"
2002-2003,16:00,Real Sociedad,Sevilla,"0            

                0"
2002-2003,16:30,Alaves,Celta Vigo,"0            

                0"
2002-2003,16:30,Villarreal,Malaga,"0            

                0"
2002-2003,17:00,Racing Santander,Valencia,"2            

                1"
2002-2003,17:00,Real Betis,Espanyol,"1            

                1"
2002-2003,18:30,Real Madrid,Real Mallorca,"1            

                5"
2002-2003,20:30,Real Sociedad,Sevilla,"1            

                0"
2002-2003,16:00,Valencia,Alaves,"3            

                0"
2002-2003,17:00,Celta Vigo,Real Valladolid,"0            

                0"
2002-2003,17:00,Malaga,Racing Santander,"2            

                2"
2002-2003,17:00,Rayo Vallecano,Espanyol,"0            

                3"
2002-2003,17:00,Real Mallorca,Deportivo La Coruna,"3            

                0"
2002-2003,17:00,Recreativo Huelva,Villarreal,"5            

                0"
2002-2003,18:00,Sevilla,Real Madrid,"1            

                3"
2002-2003,19:30,Barcelona,Real Sociedad,"2            

                1"
2002-2003,19:00,Athletic Bilbao,Real Betis,"3            

                1"
2002-2003,16:00,Alaves,Malaga,"0            

                1"
2002-2003,17:00,Deportivo La Coruna,Sevilla,"3            

                1"
2002-2003,17:00,Espanyol,Athletic Bilbao,"3            

                3"
2002-2003,17:00,Osasuna,Celta Vigo,"0            

                2"
2002-2003,17:00,Racing Santander,Recreativo Huelva,"1            

                0"
2002-2003,19:30,Real Sociedad,Rayo Vallecano,"5            

                0"
2002-2003,17:30,Real Valladolid,Valencia,"1            

                0"
2002-2003,17:30,Villarreal,Real Mallorca,"1            

                1"
2002-2003,20:30,Real Madrid,Barcelona,"1            

                1"
2002-2003,11:00,Recreativo Huelva,Alaves,"1            

                0"
2002-2003,16:00,Real Mallorca,Racing Santander,"3            

                3"
2002-2003,17:00,Celta Vigo,Real Betis,"1            

                0"
2002-2003,17:00,Malaga,Real Valladolid,"1            

                0"
2002-2003,17:00,Rayo Vallecano,Athletic Bilbao,"1            

                1"
2002-2003,18:00,Real Sociedad,Real Madrid,"4            

                2"
2002-2003,19:30,Valencia,Osasuna,"1            

                0"
2002-2003,18:00,Sevilla,Villarreal,"3            

                1"
2002-2003,20:30,Barcelona,Deportivo La Coruna,"2            

                4"
2002-2003,16:00,Alaves,Real Mallorca,"0            

                0"
2002-2003,16:00,Racing Santander,Sevilla,"1            

                0"
2002-2003,17:00,Osasuna,Malaga,"0            

                1"
2002-2003,17:00,Real Valladolid,Recreativo Huelva,"0            

                1"
2002-2003,19:30,Deportivo La Coruna,Real Sociedad,"2            

                1"
2002-2003,18:00,Real Madrid,Rayo Vallecano,"3            

                1"
2002-2003,19:45,Villarreal,Barcelona,"2            

                0"
2002-2003,20:30,Espanyol,Celta Vigo,"0            

                0"
2002-2003,16:00,Celta Vigo,Athletic Bilbao,"2            

                1"
2002-2003,16:00,Malaga,Real Betis,"0            

                0"
2002-2003,16:00,Real Mallorca,Real Valladolid,"2            

                1"
2002-2003,16:00,Real Sociedad,Villarreal,"2            

                2"
2002-2003,16:00,Recreativo Huelva,Osasuna,"1            

                1"
2002-2003,16:00,Sevilla,Alaves,"3            

                2"
2002-2003,16:00,Valencia,Espanyol,"1            

                1"
2002-2003,18:00,Barcelona,Racing Santander,"6            

                1"
2002-2003,19:30,Real Madrid,Deportivo La Coruna,"2            

                0"
2002-2003,16:00,Espanyol,Malaga,"2            

                1"
2002-2003,16:00,Osasuna,Real Mallorca,"0            

                0"
2002-2003,16:00,Real Betis,Recreativo Huelva,"1            

                1"
2002-2003,16:00,Real Valladolid,Sevilla,"0            

                0"
2002-2003,18:00,Alaves,Barcelona,"0            

                0"
2002-2003,19:30,Athletic Bilbao,Valencia,"1            

                0"
2002-2003,18:00,Villarreal,Real Madrid,"0            

                1"
2002-2003,19:45,Deportivo La Coruna,Rayo Vallecano,"2            

                0"
2002-2003,20:30,Racing Santander,Real Sociedad,"1            

                2"
2002-2003,16:00,Malaga,Athletic Bilbao,"3            

                0"
2002-2003,16:00,Rayo Vallecano,Celta Vigo,"1            

                0"
2002-2003,16:00,Real Mallorca,Real Betis,"2            

                1"
2002-2003,16:00,Recreativo Huelva,Espanyol,"0            

                0"
2002-2003,16:00,Sevilla,Osasuna,"2            

                0"
2002-2003,19:30,Real Sociedad,Alaves,"3            

                1"
2002-2003,18:00,Real Madrid,Racing Santander,"4            

                1"
2002-2003,19:45,Deportivo La Coruna,Villarreal,"2            

                1"
2002-2003,20:00,Barcelona,Real Valladolid,"1            

                1"
2002-2003,16:00,Celta Vigo,Valencia,"1            

                1"
2002-2003,16:00,Osasuna,Barcelona,"2            

                2"
2002-2003,16:00,Racing Santander,Deportivo La Coruna,"1            

                2"
2002-2003,16:00,Real Valladolid,Real Sociedad,"3            

                0"
2002-2003,16:00,Villarreal,Rayo Vallecano,"2            

                1"
2002-2003,19:30,Real Betis,Sevilla,"0            

                1"
2002-2003,19:00,Espanyol,Real Mallorca,"2            

                0"
2002-2003,19:15,Athletic Bilbao,Recreativo Huelva,"2            

                3"
2002-2003,20:30,Alaves,Real Madrid,"1            

                5"
2002-2003,16:00,Real Mallorca,Athletic Bilbao,"1            

                1"
2002-2003,16:00,Real Sociedad,Osasuna,"2            

                0"
2002-2003,16:00,Sevilla,Espanyol,"1            

                0"
2002-2003,16:00,Villarreal,Racing Santander,"0            

                3"
2002-2003,17:00,Malaga,Celta Vigo,"1            

                1"
2002-2003,19:30,Rayo Vallecano,Valencia,"0            

                4"
2002-2003,16:00,Real Madrid,Real Valladolid,"3            

                1"
2002-2003,19:45,Deportivo La Coruna,Alaves,"6            

                0"
2002-2003,20:30,Barcelona,Real Betis,"4            

                0"
2002-2003,16:00,Alaves,Villarreal,"1            

                0"
2002-2003,16:00,Athletic Bilbao,Sevilla,"2            

                0"
2002-2003,16:00,Celta Vigo,Recreativo Huelva,"4            

                1"
2002-2003,16:00,Osasuna,Real Madrid,"1            

                0"
2002-2003,16:00,Racing Santander,Rayo Vallecano,"2            

                0"
2002-2003,19:30,Real Betis,Real Sociedad,"3            

                2"
2002-2003,19:00,Espanyol,Barcelona,"0            

                2"
2002-2003,20:30,Real Valladolid,Deportivo La Coruna,"0            

                1"
2002-2003,20:30,Valencia,Malaga,"2            

                0"
2002-2003,16:00,Deportivo La Coruna,Osasuna,"1            

                1"
2002-2003,16:00,Racing Santander,Alaves,"2            

                0"
2002-2003,16:00,Rayo Vallecano,Malaga,"2            

                1"
2002-2003,16:00,Real Mallorca,Celta Vigo,"0            

                2"
2002-2003,16:00,Real Sociedad,Espanyol,"0            

                0"
2002-2003,16:00,Recreativo Huelva,Valencia,"1            

                1"
2002-2003,19:30,Barcelona,Athletic Bilbao,"2            

                2"
2002-2003,20:15,Villarreal,Real Valladolid,"1            

                0"
2002-2003,20:30,Real Madrid,Real Betis,"4            

                1"
2002-2003,16:00,Alaves,Rayo Vallecano,"1            

                1"
2002-2003,16:00,Celta Vigo,Sevilla,"0            

                1"
2002-2003,16:00,Osasuna,Villarreal,"0            

                1"
2002-2003,16:00,Real Betis,Deportivo La Coruna,"0            

                2"
2002-2003,16:00,Real Valladolid,Racing Santander,"2            

                1"
2002-2003,16:00,Valencia,Real Mallorca,"1            

                0"
2002-2003,17:00,Malaga,Recreativo Huelva,"4            

                0"
2002-2003,18:00,Espanyol,Real Madrid,"2            

                2"
2002-2003,19:30,Athletic Bilbao,Real Sociedad,"3            

                0"
2002-2003,16:00,Espanyol,Deportivo La Coruna,"3            

                1"
2002-2003,16:00,Osasuna,Racing Santander,"3            

                1"
2002-2003,16:00,Real Betis,Villarreal,"2            

                1"
2002-2003,16:00,Real Valladolid,Alaves,"1            

                3"
2002-2003,16:00,Recreativo Huelva,Rayo Vallecano,"2            

                1"
2002-2003,16:00,Valencia,Sevilla,"1            

                0"
2002-2003,17:00,Malaga,Real Mallorca,"1            

                0"
2002-2003,18:00,Athletic Bilbao,Real Madrid,"1            

                1"
2002-2003,19:30,Celta Vigo,Barcelona,"2            

                0"
2002-2003,11:00,Sevilla,Malaga,"0            

                0"
2002-2003,16:00,Alaves,Osasuna,"1            

                1"
2002-2003,16:00,Deportivo La Coruna,Athletic Bilbao,"2            

                1"
2002-2003,16:00,Racing Santander,Real Betis,"0            

                1"
2002-2003,16:00,Rayo Vallecano,Real Valladolid,"0            

                1"
2002-2003,16:00,Real Mallorca,Recreativo Huelva,"1            

                1"
2002-2003,16:00,Villarreal,Espanyol,"0            

                0"
2002-2003,19:00,Real Sociedad,Celta Vigo,"1            

                0"
2002-2003,20:30,Barcelona,Valencia,"2            

                4"
2002-2003,16:00,Athletic Bilbao,Villarreal,"0            

                1"
2002-2003,16:00,Espanyol,Racing Santander,"3            

                0"
2002-2003,16:00,Osasuna,Real Valladolid,"1            

                1"
2002-2003,16:00,Rayo Vallecano,Real Mallorca,"1            

                2"
2002-2003,16:00,Real Betis,Alaves,"2            

                2"
2002-2003,16:00,Recreativo Huelva,Sevilla,"0            

                0"
2002-2003,19:30,Malaga,Barcelona,"0            

                0"
2002-2003,20:00,Celta Vigo,Real Madrid,"0            

                1"
2002-2003,20:30,Valencia,Real Sociedad,"2            

                2"
2003-2004,18:00,Malaga,Real Betis,"2            

                3"
